--------------------------------------------------------------------------------
Bandstructure
HorizontalLine(Fermi Level)
yData = 0.0 eV

VerticalLine(Y segment)
xData = 0.0 

VerticalLine(Gamma segment)
xData = 0.154583512136 

VerticalLine(X segment)
xData = 0.208690831983 

VerticalLine(V segment)
xData = 0.363274344119 

VerticalLine(U segment)
xData = 0.527053659923 

VerticalLine(R segment)
xData = 0.681637172059 

VerticalLine(Z segment)
xData = 0.845416487864 

VerticalLine(T segment)
xData = 0.999999970198 

Line(Band 0)
xData [141]     , yData [141]     
                , Hartree         
xData [141]     , yData [141]     
                , Hartree         
 0              , -0.4003868983   
 0.007729175607 , -0.3908680257   
 0.01545835121  , -0.3810263051   
 0.02318752682  , -0.3709019366   
 0.03091670243  , -0.3605489399   
 0.03864587803  , -0.3500386959   
 0.04637505364  , -0.3394433774   
 0.05410422925  , -0.3288923949   
 0.06183340485  , -0.3185240624   
 0.06956258046  , -0.3085096732   
 0.07729175607  , -0.2990863517   
 0.08502093167  , -0.2905120655   
 0.09275010728  , -0.2830401325   
 0.1004792829   , -0.2768904824   
 0.1082084585   , -0.2721269723   
 0.1159376341   , -0.2686650591   
 0.1236668097   , -0.2662924807   
 0.1313959853   , -0.2647566131   
 0.1391251609   , -0.2638264034   
 0.1468543365   , -0.2633386195   
 0.1545835121   , -0.2631821597   
 0.1572888781   , -0.2641618224   
 0.1599942441   , -0.2666596657   
 0.1626996101   , -0.2699903242   
 0.1654049761   , -0.2737200393   
 0.1681103421   , -0.2776339174   
 0.1708157081   , -0.2816205244   
 0.1735210741   , -0.2856331023   
 0.1762264401   , -0.2896315662   
 0.1789318061   , -0.2935986464   
 0.1816371721   , -0.2975182296   
 0.1843425381   , -0.3013800517   
 0.187047904    , -0.3051797005   
 0.18975327     , -0.3089050089   
 0.192458636    , -0.312551041    
 0.195164002    , -0.3161170627   
 0.197869368    , -0.3195965413   
 0.200574734    , -0.3229854443   
 0.2032801      , -0.3262794513   
 0.205985466    , -0.3294721999   
 0.208690832    , -0.3325624032   
 0.2164200076   , -0.3323590097   
 0.2241491832   , -0.3317583426   
 0.2318783588   , -0.3307763014   
 0.2396075344   , -0.3294537343   
 0.24733671     , -0.3278517956   
 0.2550658856   , -0.3260722509   
 0.2627950612   , -0.3242932496   
 0.2705242368   , -0.3228029862   
 0.2782534124   , -0.3220736311   
 0.2859825881   , -0.3227936995   
 0.2937117637   , -0.3256936224   
 0.3014409393   , -0.3310735895   
 0.3091701149   , -0.338550908    
 0.3168992905   , -0.3474306361   
 0.3246284661   , -0.3570935727   
 0.3323576417   , -0.3671165586   
 0.3400868173   , -0.3772250292   
 0.3478159929   , -0.387233073    
 0.3555451685   , -0.3969592441   
 0.3632743441   , -0.4045135304   
 0.3714633099   , -0.3969577032   
 0.3796522757   , -0.3872331482   
 0.3878412415   , -0.3772259398   
 0.3960302073   , -0.3671156141   
 0.4042191731   , -0.3570935575   
 0.4124081389   , -0.3474296168   
 0.4205971047   , -0.338550383    
 0.4287860704   , -0.3310714313   
 0.4369750362   , -0.3256958736   
 0.445164002    , -0.3227963203   
 0.4533529678   , -0.322073526    
 0.4615419336   , -0.3228027743   
 0.4697308994   , -0.3242949778   
 0.4779198652   , -0.326074179    
 0.486108831    , -0.3278503875   
 0.4942977968   , -0.3294534751   
 0.5024867626   , -0.3307768245   
 0.5106757283   , -0.3317583436   
 0.5188646941   , -0.3323613998   
 0.5270536599   , -0.3325645727   
 0.5347828355   , -0.332361163    
 0.5425120111   , -0.3317584543   
 0.5502411867   , -0.3307764242   
 0.5579703624   , -0.3294517453   
 0.565699538    , -0.3278508917   
 0.5734287136   , -0.326073089    
 0.5811578892   , -0.3242934034   
 0.5888870648   , -0.3228037699   
 0.5966162404   , -0.3220763119   
 0.604345416    , -0.3227955473   
 0.6120745916   , -0.3256958778   
 0.6198037672   , -0.3310716438   
 0.6275329428   , -0.3385515819   
 0.6352621184   , -0.3474292734   
 0.642991294    , -0.3570923116   
 0.6507204696   , -0.3671185419   
 0.6584496452   , -0.3772273267   
 0.6661788208   , -0.3872344726   
 0.6739079965   , -0.3969590764   
 0.6816371721   , -0.4045122748   
 0.6898261378   , -0.39650324     
 0.6980151036   , -0.3863011414   
 0.7062040694   , -0.3757981824   
 0.7143930352   , -0.3651348834   
 0.722582001    , -0.3544208566   
 0.7307709668   , -0.343791628    
 0.7389599326   , -0.3334124582   
 0.7471488984   , -0.32348629     
 0.7553378642   , -0.3142493011   
 0.76352683     , -0.3059290796   
 0.7717157958   , -0.2986769039   
 0.7799047615   , -0.292485498    
 0.7880937273   , -0.2871917442   
 0.7962826931   , -0.2825468939   
 0.8044716589   , -0.2783078816   
 0.8126606247   , -0.2743091007   
 0.8208495905   , -0.2705001806   
 0.8290385563   , -0.2670096741   
 0.8372275221   , -0.2642856972   
 0.8454164879   , -0.2631836023   
 0.8531456635   , -0.2633366552   
 0.8608748391   , -0.2638272434   
 0.8686040147   , -0.2647546048   
 0.8763331903   , -0.2662933032   
 0.8840623659   , -0.2686675037   
 0.8917915415   , -0.2721284812   
 0.8995207171   , -0.2768925251   
 0.9072498927   , -0.2830401575   
 0.9149790683   , -0.2905080464   
 0.9227082439   , -0.2990907799   
 0.9304374195   , -0.3085139595   
 0.9381665951   , -0.318522171    
 0.9458957708   , -0.3288956451   
 0.9536249464   , -0.3394491704   
 0.961354122    , -0.3500338584   
 0.9690832976   , -0.3605498018   
 0.9768124732   , -0.3708986942   
 0.9845416488   , -0.3810209101   
 0.9922708244   , -0.3908625132   
 1              , -0.4003864533   

Line(Band 4)
xData [141]     , yData [141]     
                , Hartree         
 0              , -0.2401611504   
 0.007729175607 , -0.2504349204   
 0.01545835121  , -0.2599816958   
 0.02318752682  , -0.2686732696   
 0.03091670243  , -0.276317644    
 0.03864587803  , -0.2825944389   
 0.04637505364  , -0.2869694488   
 0.05410422925  , -0.2886475237   
 0.06183340485  , -0.2868556103   
 0.06956258046  , -0.2815066384   
 0.07729175607  , -0.2734036402   
 0.08502093167  , -0.2635659989   
 0.09275010728  , -0.2528020473   
 0.1004792829   , -0.2416754523   
 0.1082084585   , -0.2340940307   
 0.1159376341   , -0.2366142253   
 0.1236668097   , -0.2386806624   
 0.1313959853   , -0.2402948191   
 0.1391251609   , -0.2414485253   
 0.1468543365   , -0.2421467577   
 0.1545835121   , -0.242373706    
 0.1572888781   , -0.2413471529   
 0.1599942441   , -0.2386806563   
 0.1626996101   , -0.2350713214   
 0.1654049761   , -0.2309512174   
 0.1681103421   , -0.2265399092   
 0.1708157081   , -0.2219326328   
 0.1735210741   , -0.2172007095   
 0.1762264401   , -0.2123640582   
 0.1789318061   , -0.207455197    
 0.1816371721   , -0.2024883423   
 0.1843425381   , -0.1974709118   
 0.187047904    , -0.1924181715   
 0.18975327     , -0.1873313979   
 0.192458636    , -0.1855058012   
 0.195164002    , -0.1849688452   
 0.197869368    , -0.1844014463   
 0.200574734    , -0.1838115592   
 0.2032801      , -0.1832008342   
 0.205985466    , -0.182576545    
 0.208690832    , -0.181942625    
 0.2164200076   , -0.1839370598   
 0.2241491832   , -0.1892130496   
 0.2318783588   , -0.1966442953   
 0.2396075344   , -0.2054415871   
 0.24733671     , -0.2150878232   
 0.2550658856   , -0.225173024    
 0.2627950612   , -0.2353041385   
 0.2705242368   , -0.2450112491   
 0.2782534124   , -0.2536734774   
 0.2859825881   , -0.2604684754   
 0.2937117637   , -0.2645699433   
 0.3014409393   , -0.2655994083   
 0.3091701149   , -0.2638676102   
 0.3168992905   , -0.2600335615   
 0.3246284661   , -0.2546865342   
 0.3323576417   , -0.248262377    
 0.3400868173   , -0.2410962116   
 0.3478159929   , -0.2335968102   
 0.3555451685   , -0.2266956313   
 0.3632743441   , -0.2233073632   
 0.3714633099   , -0.2266961712   
 0.3796522757   , -0.2335969336   
 0.3878412415   , -0.2410970419   
 0.3960302073   , -0.2482607297   
 0.4042191731   , -0.2546862442   
 0.4124081389   , -0.2600333709   
 0.4205971047   , -0.2638683512   
 0.4287860704   , -0.2655977154   
 0.4369750362   , -0.2645705125   
 0.445164002    , -0.260468815    
 0.4533529678   , -0.2536706071   
 0.4615419336   , -0.2450121667   
 0.4697308994   , -0.2353069323   
 0.4779198652   , -0.2251734335   
 0.486108831    , -0.2150845047   
 0.4942977968   , -0.2054445733   
 0.5024867626   , -0.1966478754   
 0.5106757283   , -0.1892153342   
 0.5188646941   , -0.1839291359   
 0.5270536599   , -0.1819336208   
 0.5347828355   , -0.1839269022   
 0.5425120111   , -0.1892166366   
 0.5502411867   , -0.196649197    
 0.5579703624   , -0.2054451013   
 0.565699538    , -0.2150865787   
 0.5734287136   , -0.2251711763   
 0.5811578892   , -0.235306685    
 0.5888870648   , -0.2450161695   
 0.5966162404   , -0.2536762308   
 0.604345416    , -0.2604640153   
 0.6120745916   , -0.2645666434   
 0.6198037672   , -0.265596527    
 0.6275329428   , -0.2638697511   
 0.6352621184   , -0.2600352129   
 0.642991294    , -0.2546895076   
 0.6507204696   , -0.2482618803   
 0.6584496452   , -0.2410952134   
 0.6661788208   , -0.2335963737   
 0.6739079965   , -0.2266949235   
 0.6816371721   , -0.2233034937   
 0.6898261378   , -0.2284489465   
 0.6980151036   , -0.238106145    
 0.7062040694   , -0.2482519758   
 0.7143930352   , -0.2578687267   
 0.722582001    , -0.2664546886   
 0.7307709668   , -0.2734680957   
 0.7389599326   , -0.278126645    
 0.7471488984   , -0.2794095303   
 0.7553378642   , -0.2766562227   
 0.76352683     , -0.2703214039   
 0.7717157958   , -0.2615701075   
 0.7799047615   , -0.2514741336   
 0.7880937273   , -0.2407725219   
 0.7962826931   , -0.2299951852   
 0.8044716589   , -0.2285054873   
 0.8126606247   , -0.2308116082   
 0.8208495905   , -0.2343339823   
 0.8290385563   , -0.2380884945   
